DestinationID,DestinationName,country_id,state_id,CityID,Description
1,Sadapathor ,1,1,1,"With strikingly similar views to famed hill station Jaflong, Bholaganj SadaPathor, located in the Companiganj Upazila and near East Khasi Hills district of Meghalaya, India, is famous for beautiful stones, crystal clear water and green mountains. In this “heaven of white stones,” visitors can enjoy swimming, floating or simply soaking their feet in the beautiful cool water. Two other must-see places near Bholaganj include Utma Sora and Turong Sora."
2,Rema Kalenga Reserve Forest,1,1,2,"Rema Kalenga Reserve Forest is a protected dry evergreen forest area located in  Chunarughat of Habiganj district, Bangladesh. It is home to various species of flora and fauna, including rare and endangered ones such as the Hoolock gibbon and the Asian elephant. The forest is also a popular destination for eco-tourism and offers ample opportunities for hiking and bird watching."
3,Satchori national forest,1,1,2,"Sathchori National Forest is situated in Roghunandon Hill at Chunnarughat Upazilla under Habiganj District in Sylhet Division. It is mainly an evergreen woodland boasting of almost 200 types of trees including teakwood (tectona grandis), mahogany (swietenia mahagoni) chrysanthemum and bamboo. In addition to a variety of species of apes and deer, 24 species of mammals, 18 species of reptiles and 150 types of birds are found there. The forest offers visitors beautiful views of rolling hills, waterfalls, and streams. It is a popular destination for birdwatchers, hikers, and nature enthusiasts."
4,House of Baul Shah Abdul Karim,1,1,3,"The House of Baul Shah Abdul Karim is a historic residence located in Sylhet, Bangladesh. It is a place of pilgrimage for Bauls and music enthusiasts alike, as it was the birthplace and home of the renowned Baul musician and composer, Shah Abdul Karim. The house has been preserved and transformed into a museum, showcasing the life and works of Shah Abdul Karim and the Baul tradition. Visitors can explore the house and its surroundings, and attend musical performances and cultural events held throughout the year."
5,Hakaluki Haor,1,1,4,"Hakaluki Haor is a wetland ecosystem located in the Sylhet region of Bangladesh. It is a vast area of freshwater marshes and lakes surrounded by hills and forests. The area is home to a diverse range of flora and fauna, including various species of birds, fish, and reptiles. The wetland is also an important source of livelihood for the local communities, who rely on fishing and agriculture for their subsistence. Despite facing numerous threats from human activities, such as pollution and overfishing, Hakaluki Haor remains an important ecological hotspot in Bangladesh."
6,Bisnakandi,1,1,1,"Bisnakandi in Sylhet is a natural wonder located in the northeast corner of Bangladesh. It is known for its breathtakingly beautiful landscapes, crystal clear water streams, and rocky terrain. Visitors can explore the area by hiking or boating along the Piyain River, which offers panoramic views of the surrounding hills and forests. The rock formations at Bisnakandi are especially unique, with some resembling animal shapes and others appearing to be frozen waterfalls. Overall, Bisnakandi is a must-visit destination for nature lovers and adventure seekers alike."
7,Ratargul ,1,1,1,"Ratargul is a freshwater swamp forest located in Sylhet, Bangladesh, known for its unique beauty and natural diversity. It is one of the few freshwater swamp forests in the world and is home to a variety of flora and fauna, including different species of birds, monkeys, and snakes. The forest is submerged in water for most of the year, making it accessible only by boat during the monsoon season. Visitors can enjoy a serene boat ride through the forest while taking in its breathtaking views."
8,Panthumai  Waterfall,1,1,1,"Panthumai Waterfall is a stunning waterfall located in Sylhet, Bangladesh. The waterfall is surrounded by lush greenery and offers a serene environment for visitors to relax and enjoy the natural beauty. The cascading waterfalls create a picturesque view that is perfect for photography enthusiasts. Visitors can also take a dip in the cool water or go for a hike in the nearby hills. Overall, Panthumai Waterfall is a must-visit destination for nature lovers and adventure seekers."
9,Jaflong ,1,1,1,"Jaflong, located between tea gardens and hills, is the tourist hotspot of Sylhet, a hill station, positioned on the border between Bangladesh and Meghalaya, the north-eastern state of India. Also home to the Khasi tribe, Jaflong is famed for its lush, tropical setting and the areas of natural beauty surrounding it.These areas include the Piyain River, which flows between Bangladesh and India and is renowned for its crystal clear water that allows visitors to vividly see the array of underwater stones. In Jaflong, visitors can also take in the cascading waterfalls and rich greenery of the mountains of Meghalaya, and visit the historic Dawki Bridge, a suspension bridge built by the British in 1932 and a road border crossing between Bangladesh and India."
10,Songrampunji Waterfall,1,1,1,"Songrampunji Waterfall is a picturesque waterfall located just a few minutes away from the tourist hotspot Jaflong in Sylhet, Bangladesh. The waterfall is surrounded by lush greenery and is a popular spot for tourists and locals alike. Its cascading waters offer a serene and tranquil environment for visitors to relax and unwind."
